City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,"Landfill Location (Lat, Long)",Landfill Capacity (Tons),Year,Landfill_Lat,Landfill_Long,Waste_Per_Capita,Cost_Efficiency,Efficiency_x_Campaigns,Population_x_Waste,City/District_TargetMean,City/District_TargetStd,City/District_Count,City/District_SmoothedTarget,Waste Type_TargetMean,Waste Type_TargetStd,Waste Type_Count,Waste Type_SmoothedTarget,Disposal Method_TargetMean,Disposal Method_TargetStd,Disposal Method_Count,Disposal Method_SmoothedTarget,City_Recycling_Mean,City_Recycling_Std,City_Efficiency_Mean,WasteType_Recycling_Mean,WasteType_Recycling_Std,Log_Waste Generated (Tons/Day),Log_Population Density (People/km²),Log_Cost of Waste Management (₹/Ton),Efficiency_Squared,Campaigns_Squared,City_Waste_Interaction,WasteType_Efficiency_Interaction
Mumbai,Plastic,6610.0,68.0,11191.0,9.0,Composting,3056.0,14.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2019.0,22.4265,77.4931,0.5906004288777699,305.6,126.0,73972510.0,56.84,15.62231310231192,25.0,56.90756302521008,58.141176470588235,15.729332596558914,170.0,58.08202614379085,55.76555023923445,16.763558227039926,209.0,55.82540961590116,56.84,15.62231310231192,7.96,58.141176470588235,15.729332596558914,8.796490207333578,9.322954516345318,8.025189321890835,81.0,196.0,375712.4,523.2705882352941
Mumbai,Organic,1181.0,56.0,11191.0,5.0,Composting,2778.0,12.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2019.0,22.4265,77.4931,0.10552180128663331,463.0,60.0,13216571.0,56.84,15.62231310231192,25.0,56.90756302521008,56.95294117647059,15.522006429775335,170.0,56.95980392156863,55.76555023923445,16.763558227039926,209.0,55.82540961590116,56.84,15.62231310231192,7.96,56.95294117647059,15.522006429775335,7.074963197966044,9.322954516345318,7.929846429742503,25.0,144.0,67128.04000000001,284.7647058823529
Mumbai,E-Waste,8162.0,53.0,11191.0,8.0,Incineration,3390.0,13.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2019.0,22.4265,77.4931,0.7292709077912795,376.6666666666667,104.0,91340942.0,56.84,15.62231310231192,25.0,56.90756302521008,57.04705882352941,16.415035597438056,170.0,57.04869281045752,57.80275229357798,15.769731017145002,218.0,57.77089783281734,56.84,15.62231310231192,7.96,57.04705882352941,16.415035597438056,9.007367027451355,9.322954516345318,8.128880142125638,64.0,169.0,463928.08,456.3764705882353
Mumbai,Construction,8929.0,56.0,11191.0,5.0,Landfill,1498.0,14.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2019.0,22.4265,77.4931,0.7978020014295926,249.66666666666666,70.0,99924439.0,56.84,15.62231310231192,25.0,56.90756302521008,56.129411764705885,16.133164955651175,170.0,56.18202614379085,58.75238095238095,16.178892831442766,210.0,58.67620320855615,56.84,15.62231310231192,7.96,56.129411764705885,16.133164955651175,9.097171673870545,9.322954516345318,7.312553498102598,25.0,196.0,507524.36000000004,280.64705882352945
Mumbai,Hazardous,5032.0,44.0,11191.0,7.0,Recycling,2221.0,16.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2019.0,22.4265,77.4931,0.4496068620443174,277.625,112.0,56313112.0,56.84,15.62231310231192,25.0,56.90756302521008,57.11176470588235,16.938258307763583,170.0,57.10980392156863,55.967136150234744,15.727750074948899,213.0,56.016882089158536,56.84,15.62231310231192,7.96,57.11176470588235,16.938258307763583,8.52377150677636,9.322954516345318,7.706162970199576,49.0,256.0,286018.88,399.78235294117644
Mumbai,Plastic,7456.0,73.0,11191.0,9.0,Landfill,3195.0,6.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2020.0,22.4265,77.4931,0.6661901358112938,319.5,54.0,83440096.0,56.84,15.62231310231192,25.0,56.90756302521008,58.141176470588235,15.729332596558914,170.0,58.08202614379085,58.75238095238095,16.178892831442766,210.0,58.67620320855615,56.84,15.62231310231192,7.96,58.141176470588235,15.729332596558914,8.916908467543795,9.322954516345318,8.069655306886165,81.0,36.0,423799.04000000004,523.2705882352941
Mumbai,Organic,7118.0,37.0,11191.0,6.0,Composting,3686.0,14.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2020.0,22.4265,77.4931,0.6359899928520372,526.5714285714286,84.0,79657538.0,56.84,15.62231310231192,25.0,56.90756302521008,56.95294117647059,15.522006429775335,170.0,56.95980392156863,55.76555023923445,16.763558227039926,209.0,55.82540961590116,56.84,15.62231310231192,7.96,56.95294117647059,15.522006429775335,8.870522545103873,9.322954516345318,8.212568398234145,36.0,196.0,404587.12,341.71764705882356
Mumbai,E-Waste,9189.0,57.0,11191.0,10.0,Landfill,1791.0,12.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2020.0,22.4265,77.4931,0.8210328806290207,162.8181818181818,120.0,102834099.0,56.84,15.62231310231192,25.0,56.90756302521008,57.04705882352941,16.415035597438056,170.0,57.04869281045752,58.75238095238095,16.178892831442766,210.0,58.67620320855615,56.84,15.62231310231192,7.96,57.04705882352941,16.415035597438056,9.125871215349733,9.322954516345318,7.491087593534876,100.0,144.0,522302.76,570.4705882352941
Mumbai,Construction,8609.0,48.0,11191.0,8.0,Incineration,1681.0,20.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2020.0,22.4265,77.4931,0.7692101501072195,186.77777777777777,160.0,96343319.0,56.84,15.62231310231192,25.0,56.90756302521008,56.129411764705885,16.133164955651175,170.0,56.18202614379085,57.80275229357798,15.769731017145002,218.0,57.77089783281734,56.84,15.62231310231192,7.96,56.129411764705885,16.133164955651175,9.060679597421776,9.322954516345318,7.427738840532894,64.0,400.0,489335.56000000006,449.0352941176471
Mumbai,Hazardous,6632.0,71.0,11191.0,6.0,Incineration,2311.0,12.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2020.0,22.4265,77.4931,0.592566118656183,330.14285714285717,72.0,74218712.0,56.84,15.62231310231192,25.0,56.90756302521008,57.11176470588235,16.938258307763583,170.0,57.10980392156863,57.80275229357798,15.769731017145002,218.0,57.77089783281734,56.84,15.62231310231192,7.96,57.11176470588235,16.938258307763583,8.799812469525556,9.322954516345318,7.7458682297922685,36.0,144.0,376962.88,342.6705882352941
Mumbai,Plastic,6932.0,81.0,11191.0,10.0,Incineration,2543.0,16.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2021.0,22.4265,77.4931,0.6193709792709078,231.1818181818182,160.0,77576012.0,56.84,15.62231310231192,25.0,56.90756302521008,58.141176470588235,15.729332596558914,170.0,58.08202614379085,57.80275229357798,15.769731017145002,218.0,57.77089783281734,56.84,15.62231310231192,7.96,58.141176470588235,15.729332596558914,8.84404789894249,9.322954516345318,7.841492924460013,100.0,256.0,394014.88,581.4117647058823
Mumbai,Organic,4171.0,44.0,11191.0,9.0,Incineration,4756.0,14.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2021.0,22.4265,77.4931,0.3726769120800572,475.6,126.0,46677661.0,56.84,15.62231310231192,25.0,56.90756302521008,56.95294117647059,15.522006429775335,170.0,56.95980392156863,57.80275229357798,15.769731017145002,218.0,57.77089783281734,56.84,15.62231310231192,7.96,56.95294117647059,15.522006429775335,8.336150816120663,9.322954516345318,8.467372496432281,81.0,196.0,237079.64,512.5764705882353
Mumbai,E-Waste,5095.0,30.0,11191.0,10.0,Composting,3586.0,2.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2021.0,22.4265,77.4931,0.4552358827734096,326.0,20.0,57018145.0,56.84,15.62231310231192,25.0,56.90756302521008,57.04705882352941,16.415035597438056,170.0,57.04869281045752,55.76555023923445,16.763558227039926,209.0,55.82540961590116,56.84,15.62231310231192,7.96,57.04705882352941,16.415035597438056,8.536211197252,9.322954516345318,8.185071477532283,100.0,4.0,289599.8,570.4705882352941
Mumbai,Construction,3514.0,77.0,11191.0,9.0,Incineration,3520.0,0.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2021.0,22.4265,77.4931,0.31397426733380984,352.0,0.0,39325174.0,56.84,15.62231310231192,25.0,56.90756302521008,56.129411764705885,16.133164955651175,170.0,56.18202614379085,57.80275229357798,15.769731017145002,218.0,57.77089783281734,56.84,15.62231310231192,7.96,56.129411764705885,16.133164955651175,8.164794804244766,9.322954516345318,8.166500319155052,81.0,0.0,199735.76,505.16470588235296
Mumbai,Hazardous,4505.0,54.0,11191.0,10.0,Composting,3655.0,4.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2021.0,22.4265,77.4931,0.40251965689778413,332.27272727272725,40.0,50415455.0,56.84,15.62231310231192,25.0,56.90756302521008,57.11176470588235,16.938258307763583,170.0,57.10980392156863,55.76555023923445,16.763558227039926,209.0,55.82540961590116,56.84,15.62231310231192,7.96,57.11176470588235,16.938258307763583,8.41316512099219,9.322954516345318,8.204124932574041,100.0,16.0,256064.2,571.1176470588235
Mumbai,Plastic,2501.0,41.0,11191.0,9.0,Recycling,1194.0,4.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2022.0,22.4265,77.4931,0.22346318799142245,119.4,36.0,27988691.0,56.84,15.62231310231192,25.0,56.90756302521008,58.141176470588235,15.729332596558914,170.0,58.08202614379085,55.967136150234744,15.727750074948899,213.0,56.016882089158536,56.84,15.62231310231192,7.96,58.141176470588235,15.729332596558914,7.824845691026856,9.322954516345318,7.085901464365611,81.0,16.0,142156.84,523.2705882352941
Mumbai,Organic,3348.0,79.0,11191.0,6.0,Incineration,2383.0,10.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2022.0,22.4265,77.4931,0.29914224446032883,340.42857142857144,60.0,37467468.0,56.84,15.62231310231192,25.0,56.90756302521008,56.95294117647059,15.522006429775335,170.0,56.95980392156863,57.80275229357798,15.769731017145002,218.0,57.77089783281734,56.84,15.62231310231192,7.96,56.95294117647059,15.522006429775335,8.116417072794205,9.322954516345318,7.776535028185241,36.0,100.0,190300.32,341.71764705882356
Mumbai,E-Waste,6915.0,41.0,11191.0,9.0,Incineration,2324.0,1.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2022.0,22.4265,77.4931,0.6178520371694067,232.4,9.0,77385765.0,56.84,15.62231310231192,25.0,56.90756302521008,57.04705882352941,16.415035597438056,170.0,57.04869281045752,57.80275229357798,15.769731017145002,218.0,57.77089783281734,56.84,15.62231310231192,7.96,57.04705882352941,16.415035597438056,8.84159284680318,9.322954516345318,7.751475318021456,81.0,1.0,393048.60000000003,513.4235294117647
Mumbai,Construction,5862.0,48.0,11191.0,7.0,Landfill,2867.0,19.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2022.0,22.4265,77.4931,0.5237669764117227,358.375,133.0,65601642.0,56.84,15.62231310231192,25.0,56.90756302521008,56.129411764705885,16.133164955651175,170.0,56.18202614379085,58.75238095238095,16.178892831442766,210.0,58.67620320855615,56.84,15.62231310231192,7.96,56.129411764705885,16.133164955651175,8.676416696964216,9.322954516345318,7.961370201719511,49.0,361.0,333196.08,392.9058823529412
Mumbai,Hazardous,4856.0,74.0,11191.0,10.0,Landfill,826.0,1.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2022.0,22.4265,77.4931,0.43388134381701216,75.0909090909091,10.0,54343496.0,56.84,15.62231310231192,25.0,56.90756302521008,57.11176470588235,16.938258307763583,170.0,57.10980392156863,58.75238095238095,16.178892831442766,210.0,58.67620320855615,56.84,15.62231310231192,7.96,57.11176470588235,16.938258307763583,8.488176242345745,9.322954516345318,6.717804695023691,100.0,1.0,276015.04000000004,571.1176470588235
Mumbai,Plastic,6569.0,48.0,11191.0,5.0,Landfill,4287.0,16.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2023.0,22.4265,77.4931,0.5869370979270908,714.5,80.0,73513679.0,56.84,15.62231310231192,25.0,56.90756302521008,58.141176470588235,15.729332596558914,170.0,58.08202614379085,58.75238095238095,16.178892831442766,210.0,58.67620320855615,56.84,15.62231310231192,7.96,58.141176470588235,15.729332596558914,8.790269111478656,9.322954516345318,8.363575702750637,25.0,256.0,373381.96,290.70588235294116
Mumbai,Organic,7809.0,35.0,11191.0,8.0,Recycling,3128.0,7.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2023.0,22.4265,77.4931,0.6977305218012866,347.55555555555554,56.0,87390519.0,56.84,15.62231310231192,25.0,56.90756302521008,56.95294117647059,15.522006429775335,170.0,56.95980392156863,55.967136150234744,15.727750074948899,213.0,56.016882089158536,56.84,15.62231310231192,7.96,56.95294117647059,15.522006429775335,8.963160242833732,9.322954516345318,8.048468743668883,64.0,49.0,443863.56,455.6235294117647
Mumbai,E-Waste,7232.0,82.0,11191.0,6.0,Landfill,1565.0,9.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2023.0,22.4265,77.4931,0.6461758398856325,223.57142857142858,54.0,80933312.0,56.84,15.62231310231192,25.0,56.90756302521008,57.04705882352941,16.415035597438056,170.0,57.04869281045752,58.75238095238095,16.178892831442766,210.0,58.67620320855615,56.84,15.62231310231192,7.96,57.04705882352941,16.415035597438056,8.886409166849282,9.322954516345318,7.356279876550748,36.0,81.0,411066.88,342.28235294117644
Mumbai,Construction,4039.0,54.0,11191.0,9.0,Recycling,1252.0,12.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2023.0,22.4265,77.4931,0.36088277340957825,125.2,108.0,45200449.0,56.84,15.62231310231192,25.0,56.90756302521008,56.129411764705885,16.133164955651175,170.0,56.18202614379085,55.967136150234744,15.727750074948899,213.0,56.016882089158536,56.84,15.62231310231192,7.96,56.129411764705885,16.133164955651175,8.303999970955196,9.322954516345318,7.133295954896068,81.0,144.0,229576.76,505.16470588235296
